dummy 	 0.003000 ms
dummy 	 0.001000 ms
dummy2 	 8746.592000 ms
dummy2 	 9005.950000 ms
my_random_float 	 8545.213000 ms
my_random_float 	 8642.161000 ms
my_random_float2 	 18421.548000 ms
my_random_float2 	 19258.451000 ms
theirs - random_float 	 9210.835000 ms
theirs - random_float 	 8603.662000 ms
